time,r1_x,r1_y,r2_x,r2_y,r3_x,r3_y
0.17998075485229492,0.0027256233204743935,2.0762378294473053e-05,4.002716233851862,8.000020707090412,-7.997279071413918,-5.999979265266484
0.28035545349121094,0.002727970687651897,2.0776200660328474e-05,4.002718581218977,8.000020720912126,-7.9972767240467695,-5.999979251444445
0.3799731731414795,0.0027303180548444855,2.0790023190122707e-05,4.0027209285861085,8.000020734734,-7.997274376679608,-5.999979237622247
0.4815235137939453,0.00273266542205218,2.0803845884190337e-05,4.002723275953256,8.000020748556036,-7.997272029312427,-5.999979223799882
0.5803883075714111,0.0027350127892750223,2.081766874224473e-05,4.002725623320419,8.000020762378234,-7.997269681945234,-5.999979209977354
0.6800694465637207,0.002737125419788468,2.083010945475547e-05,4.0027279706876,8.0000207762006,-7.997267334578026,-5.999979196154659
0.7800717353820801,0.0027394727870400024,2.0843932624464306e-05,4.002730318054791,8.00002079002313,-7.997264987210803,-5.999979182331803
0.880234956741333,0.002741820154306629,2.085775595824435e-05,4.002732665422001,8.000020803845825,-7.997262639843564,-5.999979168508782
0.9802024364471436,0.0027441675215883823,2.087157945615216e-05,4.002735012789227,8.000020817668686,-7.9972602924763105,-5.999979154685598
1.0801396369934082,0.002746514888885221,2.0885403118026502e-05,4.002737360156463,8.000020831491707,-7.997257945109042,-5.999979140862246
1.180192232131958,0.0027488622561971793,2.0899226943892492e-05,4.002739707523715,8.000020845314893,-7.997255597741759,-5.99997912703873
1.2799983024597168,0.0027512096235242714,2.091305093386774e-05,4.002742054890983,8.000020859138242,-7.99725325037446,-5.999979113215053
1.3800804615020752,0.0027535569908664834,2.092687508759538e-05,4.002744402258266,8.000020872961755,-7.997250903007147,-5.999979099391213
1.4802229404449463,0.002755904358223829,2.0940699405419e-05,4.002746749625565,8.000020886785435,-7.9972485556398185,-5.999979085567209
1.580035924911499,0.002758251725596274,2.09545238873247e-05,4.00274909699288,8.000020900609275,-7.997246208272472,-5.999979071743037
1.6806378364562988,0.0027605990929838106,2.0968348533258623e-05,4.002751444360206,8.00002091443328,-7.997243860905116,-5.999979057918703
1.7800753116607666,0.0027629464603864604,2.098217334331492e-05,4.002753791727553,8.00002092825745,-7.997241513537741,-5.999979044094208
1.8800973892211914,0.0027652938278042508,2.099599831741791e-05,4.002756139094909,8.00002094208179,-7.9972391661703535,-5.999979030269548
1.980098009109497,0.0027676411952371124,2.1009823455560482e-05,4.002758486462283,8.000020955906294,-7.99723681880295,-5.999979016444721
2.080089569091797,0.002769988562685101,2.1023648757887918e-05,4.002760833829672,8.000020969730956,-7.99723447143553,-5.999979002619729
2.1800496578216553,0.002772335930148216,2.1037474224176098e-05,4.002763181197073,8.000020983555778,-7.997232124068097,-5.999978988794575
2.280019998550415,0.0027746832976263958,2.1051299854661418e-05,4.002765528564492,8.000020997380766,-7.997229776700648,-5.999978974969258
2.3801887035369873,0.00277703066511973,2.1065125649259517e-05,4.002767875931926,8.000021011205922,-7.997227429333184,-5.999978961143777
2.4800312519073486,0.002779378032628156,2.1078951607929002e-05,4.002770223299375,8.00002102503124,-7.997225081965705,-5.999978947318128
2.580488443374634,0.002781725400151709,2.1092777730566686e-05,4.002772335930091,8.000021037474164,-7.997222734598211,-5.999978933492317
2.680773973464966,0.002784072767690375,2.1106604017345957e-05,4.002774918034319,8.00002105268237,-7.997220387230699,-5.999978919666343
